"pat" "th"
143 1812
234 2035
96 2112
128 2230
262 2478
38 1920
211 1931
135 1940
284 1613
223 1733
299 1598
431 1690
245 1996
98 2202
70 2194
258 2478
240 2659
146 2029
189 2385
68 2257
61 1844
90 1235
135 1520
151 1122
242 512
133 519
139 635
256 752
352 790
679 802
1435 985
813 1105
816 1046
1283 1062
1088 1115
887 1242
1224 811
1769 596
1396 447
683 437
1305 314
1411 454
816 131
503 173
1202 131
1086 77
531 83
756 295
616 634
568 1019
469 1100
199 1310
453 1469
126 1363
137 1344
117 1498
194 1966
175 1592
125 1474
70 2068
47 2021
11 2144
9 2028
72 1549
53 1056
69 757
146 760
81 1433
23 1988
8 2187
80 1985
50 1544
12 1308
30 1211
80 822
5 640
49 1100
29 1066
55 859
26 805
1 642
1 409
4 333
18 330
5 290
14 157
18 60
33 67
0 30
6 27
24 0
112 13
111 0
54 8
1026 60
1467 207
1289 410
911 487
607 761
1021 1189
1003 1670
935 2137
618 2655
839 2768
477 2414
184 1534
130 1197
638 1107
711 1062
632 880
535 513
679 224
568 268
416 137
5 219
163 112
158 200
37 161
93 235
41 198
90 256
15 207
27 121
83 48
18 35
77 35
558 189
552 564
489 857
121 990
37 1139
55 1382
91 1649
46 1865
41 1697
22 957
152 1265
24 1592
163 1419
23 876
22 208
95 395
7 391
24 683
19 750
14 1146
35 966
9 725
4 355
52 18
5 40
4 173
9 28
16 42
124 5
324 60
249 761
57 1054
96 732
37 463
125 687
537 776
416 617
286 214
200 115
417 290
654 475
383 512
437 251
345 162
358 83
273 102
124 76
214 36
296 25
482 19
256 13
536 23
927 7
832 7
668 1
752 0
463 9
301 4
209 1
73 20
183 8
175 68
131 83
90 42
367 26
484 79
178 45
157 20
217 329
239 892
252 1215
210 903
232 639
146 254
400 775
591 918
992 427
1212 417
1558 857
1815 572
1293 354
597 352
342 271
251 214
289 55
352 115
366 127
196 66
591 189
908 99
1137 85
1192 106
1304 139
1754 33
2164 25
1944 30
1863 13
2511 34
2726 8
1742 2
934 11
1142 0
1909 0
1513 0
1066 0
720 5
971 6
1723 0
1712 4
1859 8
2025 2
1486 0
1323 0
1461 0
1529 35
882 20
307 38
606 37
395 118
452 96
539 160
666 38
386 19
309 1
379 0
1013 12
1828 0
2082 7
2158 24
1988 36
1946 7
1078 0
471 0
431 0
845 0
634 12
676 18
470 0
625 0
369 0
588 18
615 1
875 0
463 0
1152 0
817 0
1168 0
1171 0
1115 0
932 3
965 8
839 0
455 7
525 31
849 37
847 14
1303 0
1248 5
1084 7
1346 0
1261 0
1479 0
1555 0
1433 0
1180 6
1078 33
1332 4
2251 15
2632 3
2749 7
2416 3
2139 9
2003 2
1852 14
1633 2
1626 8
1790 20
1886 25
1264 59
937 37
1139 35
1183 160
1661 812
1782 1693
1691 2557
1627 2846
1483 3754
1331 4591
1475 5549
1633 5682
1335 6268
1482 5659
1453 5996
1099 5510
1143 6020
1173 5718
1099 6148
996 5322
1487 5281
1798 4997
2066 4975
2245 3827
1970 3322
2025 2729
2263 2899
1912 2601
1740 2810
1764 1874
1790 1806
2406 2332
3267 2841
3729 3836
4124 3873
4043 3075
3490 1763
2895 1661
2239 1343
1993 1477
1332 1680
1450 1976
1762 2156
2575 2566
3146 2562
3798 2559
4432 2734
5043 3056
5428 2774
6071 3598
6372 3813
6630 4141
6644 3738
6773 4256
6872 4073
6779 5365
6607 5614
6092 5864
5049 6113
5482 5980
5661 4951
5156 4678
4966 3643
4027 3789
4068 4022
3853 3953
3494 3663
3270 2991
2646 2275
2338 1725
2392 1245
2500 831
3113 951
3540 1140
3924 1154
3831 1685
3221 1777
2421 1766
2188 1872
1610 2229
1566 2208
1727 1904
1888 1230
1988 469
2173 578
2710 733
3077 1214
3804 2042
3438 1091
3666 114
3800 560
3530 663
3748 629
3605 254
3698 57
3292 139
3137 556
2803 639
2572 725
1786 897
1261 818
770 701
646 633
556 463
279 259
183 245
210 351
292 198
221 176
107 150
52 48
133 25
216 66
390 17
644 69
864 109
969 72
1046 238
983 290
974 601
830 861
430 1175
132 1332
182 1756
501 1713
803 1887
1038 1919
1419 1644
1277 1355
703 963
244 871
284 1214
499 1422
684 1794
519 2421
402 3431
215 3121
283 1726
316 1728
249 1258
143 601
188 849
162 1168
90 1569
69 473
172 1446
125 2058
4 2196
20 953
86 1058
127 1228
83 621
25 245
37 258
1 57
6 229
0 343
0 184
0 17
0 289
22 347
79 227
13 272
13 304
21 340
4 49
0 411
0 956
0 971
0 405
0 130
0 350
0 273
0 172
0 300
0 1131
1 1258
0 335
0 439
9 227
0 35
0 27
0 1
0 38
0 79
0 9
0 33
7 71
1 26
0 4
1 0
130 1
183 0
233 3
391 0
637 1
903 21
1072 30
1019 11
686 82
853 421
1248 820
1163 1269
819 1240
1062 352
1074 785
1163 1495
1285 1072
1423 894
1238 1016
911 289
939 818
1511 527
1405 90
1414 252
1172 241
493 485
583 121
1014 317
1255 211
881 44
82 277
348 71
775 25
704 206
244 755
453 770
654 587
377 612
267 530
645 591
835 574
571 598
609 594
691 581
611 605
